Date;S&Pprice;;;;;;;
25-Sep-31;10.92;;;;;;;
28-Sep-31;10.5;;;;;;;
29-Sep-31;10.06;;;;;;;
30-Sep-31;9.71;;;;;;;
1-Oct-31;9.53;;;;;;;
2-Oct-31;9.7;;;;;;;
5-Oct-31;8.82;;;;;;;
6-Oct-31;9.91;;;;;;;
7-Oct-31;9.78;;;;;;;
8-Oct-31;10.62;;;;;;;
9-Oct-31;10.55;;;;;;;
13-Oct-31;10.1;;;;;;;
14-Oct-31;9.87;;;;;;;
15-Oct-31;10.05;;;;;;;
16-Oct-31;10.36;;;;;;;
19-Oct-31;10.49;;;;;;;
20-Oct-31;10.96;;;;;;;
21-Oct-31;10.86;;;;;;;
23-Oct-31;10.84;;;;;;;
26-Oct-31;10.64;;;;;;;
27-Oct-31;10.41;;;;;;;
28-Oct-31;10.07;;;;;;;
29-Oct-31;10.11;;;;;;;
30-Oct-31;10.43;;;;;;;
4-Nov-31;10.82;;;;;;;
5-Nov-31;10.78;;;;;;;
6-Nov-31;11.11;;;;;;;
10-Nov-31;11.28;;;;;;;
12-Nov-31;11.07;;;;;;;
13-Nov-31;10.72;;;;;;;
17-Nov-31;10.6;;;;;;;
18-Nov-31;10.21;;;;;;;
19-Nov-31;10.16;;;;;;;
20-Nov-31;9.85;;;;;;;
27-Nov-31;9.31;;;;;;;
30-Nov-31;9.5;;;;;;;
1-Dec-31;9.38;;;;;;;
2-Dec-31;9.05;;;;;;;
3-Dec-31;9.22;;;;;;;
4-Dec-31;9.02;;;;;;;
7-Dec-31;9.29;;;;;;;
9-Dec-31;8.78;;;;;;;
10-Dec-31;8.58;;;;;;;
11-Dec-31;8.31;;;;;;;
14-Dec-31;8.01;;;;;;;
15-Dec-31;8.12;;;;;;;
16-Dec-31;7.93;;;;;;;
17-Dec-31;7.72;;;;;;;
18-Dec-31;8.36;;;;;;;
21-Dec-31;8.15;;;;;;;
22-Dec-31;8.29;;;;;;;
23-Dec-31;7.95;;;;;;;
24-Dec-31;7.96;;;;;;;
28-Dec-31;7.76;;;;;;;
30-Dec-31;8.1;;;;;;;
4-Jan-32;7.56;;;;;;;
5-Jan-32;7.55;;;;;;;
6-Jan-32;8.08;;;;;;;
7-Jan-32;8.22;;;;;;;
8-Jan-32;8.57;;;;;;;
11-Jan-32;8.48;;;;;;;
